,block_variable,user_message,system_prompt
0,america,American people should always buy American-made products instead of imports.,"You are a consumer in a market research study. Your task is to provide answers to the questions given. 
Response format is 7-point Likert-type scale (Strongly agree = 7, Strongly disagree =1).
Please respond with ONLY the digit of the response. Do not provide any other text, explanation, or punctuation."
1,america,Only those products that are unavailable in the U.S. should be imported.,"You are a consumer in a market research study. Your task is to provide answers to the questions given. 
Response format is 7-point Likert-type scale (Strongly agree = 7, Strongly disagree =1).
Please respond with ONLY the digit of the response. Do not provide any other text, explanation, or punctuation."
2,america,Buy American-made products. Keep America working.,"You are a consumer in a market research study. Your task is to provide answers to the questions given. 
Response format is 7-point Likert-type scale (Strongly agree = 7, Strongly disagree =1).
Please respond with ONLY the digit of the response. Do not provide any other text, explanation, or punctuation."
3,america,"American products, first, last, and foremost.","You are a consumer in a market research study. Your task is to provide answers to the questions given. 
Response format is 7-point Likert-type scale (Strongly agree = 7, Strongly disagree =1).
Please respond with ONLY the digit of the response. Do not provide any other text, explanation, or punctuation."
4,america,Purchasing foreign-made products is un-American.,"You are a consumer in a market research study. Your task is to provide answers to the questions given. 
Response format is 7-point Likert-type scale (Strongly agree = 7, Strongly disagree =1).
Please respond with ONLY the digit of the response. Do not provide any other text, explanation, or punctuation."
5,america,"It is not right to purchase foreign products, because it puts Americans out of jobs.","You are a consumer in a market research study. Your task is to provide answers to the questions given. 
Response format is 7-point Likert-type scale (Strongly agree = 7, Strongly disagree =1).
Please respond with ONLY the digit of the response. Do not provide any other text, explanation, or punctuation."
6,america,A real American should always buy American-made products.,"You are a consumer in a market research study. Your task is to provide answers to the questions given. 
Response format is 7-point Likert-type scale (Strongly agree = 7, Strongly disagree =1).
Please respond with ONLY the digit of the response. Do not provide any other text, explanation, or punctuation."
7,america,We should purchase products manufactured in America instead of letting other countries get rich off us.,"You are a consumer in a market research study. Your task is to provide answers to the questions given. 
Response format is 7-point Likert-type scale (Strongly agree = 7, Strongly disagree =1).
Please respond with ONLY the digit of the response. Do not provide any other text, explanation, or punctuation."
8,america,It is always best to purchase American products.,"You are a consumer in a market research study. Your task is to provide answers to the questions given. 
Response format is 7-point Likert-type scale (Strongly agree = 7, Strongly disagree =1).
Please respond with ONLY the digit of the response. Do not provide any other text, explanation, or punctuation."
9,america,There should be very little trading or purchasing of goods from other countries unless out of necessity.,"You are a consumer in a market research study. Your task is to provide answers to the questions given. 
Response format is 7-point Likert-type scale (Strongly agree = 7, Strongly disagree =1).
Please respond with ONLY the digit of the response. Do not provide any other text, explanation, or punctuation."
10,america,"Americans should not buy foreign products, because this hurts American business and causes unemployment.","You are a consumer in a market research study. Your task is to provide answers to the questions given. 
Response format is 7-point Likert-type scale (Strongly agree = 7, Strongly disagree =1).
Please respond with ONLY the digit of the response. Do not provide any other text, explanation, or punctuation."
11,america,Curbs should be put on all imports.,"You are a consumer in a market research study. Your task is to provide answers to the questions given. 
Response format is 7-point Likert-type scale (Strongly agree = 7, Strongly disagree =1).
Please respond with ONLY the digit of the response. Do not provide any other text, explanation, or punctuation."
